,county,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
86,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70328,John Small Elementary,Washington,"4103 North Market Street Ext, Washington, NC 27889",-77.0395955,35.5686437,Beaufort County Schools,65.20,C,55.80,3.0
87,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70339,Southside High,Chocowinity,"5700 Hwy 33 East, Chocowinity, NC 27817",-77.0568718,35.4461925,Beaufort County Schools,58.00,C,47.00,3.0
88,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70327,John C Tayloe Elementary,Washington,"910 Tarboro Street, Washington, NC 27889",-77.0639342,35.5577761,Beaufort County Schools,63.20,C,54.50,3.0
89,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70326,Chocowinity Primary,Chocowinity,"606 Gray Road, Chocowinity, NC 27817",-77.0946226,35.4980489,Beaufort County Schools,66.60,B,69.80,2.0
90,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70325,Chocowinity Middle,Chocowinity,"3831 US HWY 17 S, Chocowinity, NC 27817",-77.1007959,35.5098445,Beaufort County Schools,65.10,C,56.40,3.0
91,Bertie,2.3,0.0,2.0,8.0,21.1,16.1,64.9,1.0,30.4,35433.0,80360,Colerain Elementary,Colerain,"202 N Academy Street, Colerain, NC 27924",-76.7710699,36.1994918,Bertie County Schools,66.30,C,50.00,3.0
92,Bertie,2.3,0.0,2.0,8.0,21.1,16.1,64.9,1.0,30.4,35433.0,80362,Windsor Elementary,Windsor,"104 Cooper Hill Road, Windsor, NC 27983",-76.9204929,35.987805,Bertie County Schools,65.60,C,48.60,3.0
93,Bertie,2.3,0.0,2.0,8.0,21.1,16.1,64.9,1.0,30.4,35433.0,08A000,Three Rivers Academy,Windsor,"118-B County Farm Road, Windsor, NC 27983",-76.9466248,35.9776865,Charter Schools,72.40,F,8.60,5.0
94,Bertie,2.3,0.0,2.0,8.0,21.1,16.1,64.9,1.0,30.4,35433.0,80314,Bertie Middle,Windsor,"652 US Hwy 13 North, Windsor, NC 27983",-76.9645761,36.0476907,Bertie County Schools,58.20,D,45.00,3.0
95,Bertie,2.3,0.0,2.0,8.0,21.1,16.1,64.9,1.0,30.4,35433.0,80311,Bertie Early College High,Windsor,"819 Governors Road, Windsor, NC 27983",-77.0134803,36.0343083,Bertie County Schools,31.40,A,85.20,1.0
96,Bertie,2.3,0.0,2.0,8.0,21.1,16.1,64.9,1.0,30.4,35433.0,80348,Aulander Elementary,Aulander,"2515 NC Highway 305 North, Aulander, NC 27805",-77.1058429,36.2154879,Bertie County Schools,63.90,C,53.10,3.0
97,Bertie,2.3,0.0,2.0,8.0,21.1,16.1,64.9,1.0,30.4,35433.0,80356,West Bertie Elementary,Kelford,"3734 Governors Road, Kelford, NC 27847",-77.2149439,36.1578521,Bertie County Schools,68.90,D,42.90,3.0
98,Bertie,2.3,0.0,2.0,8.0,21.1,16.1,64.9,1.0,30.4,35433.0,80312,Bertie High,Windsor,"716 US Hwy 13 North, Windsor, NC 27983",-78.0609004,35.3202529,Bertie County Schools,56.70,D,26.20,4.0
99,Bladen,2.4,16.2,0.9,7.1,19.1,15.8,44.7,1.0,41.8,36976.0,90376,Bladen Early College,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Bladen County Schools,74.50,C,54.50,3.0
100,Bladen,2.4,16.2,0.9,7.1,19.1,15.8,44.7,1.0,41.8,36976.0,90328,East Arcadia Elementary,Riegelwood,"21451 NC Hwy 87 East, Riegelwood, NC 28456",-78.342192,34.4201,Bladen County Schools,81.80,D,37.00,4.0
101,Bladen,2.4,16.2,0.9,7.1,19.1,15.8,44.7,1.0,41.8,36976.0,90330,East Bladen High,Elizabethtown,"5600 NC Hwy 87 East, Elizabethtown, NC 28337",-78.530589,34.580132,Bladen County Schools,70.70,C,44.30,3.0
102,Bladen,2.4,16.2,0.9,7.1,19.1,15.8,44.7,1.0,41.8,36976.0,09B000,Emereau Bladen,Elizabethtown,"995 Airport Rd, Elizabethtown, NC 28337",-78.5733569,34.5989151,Charter Schools,40.00,C,55.40,3.0
103,Bladen,2.4,16.2,0.9,7.1,19.1,15.8,44.7,1.0,41.8,36976.0,90318,Bladen Lakes Primary,Elizabethtown,"9554 Johnsontown Road, Elizabethtown, NC 28337",-78.595286,34.711064,Bladen County Schools,83.50,D,47.30,3.0
104,Bladen,2.4,16.2,0.9,7.1,19.1,15.8,44.7,1.0,41.8,36976.0,90333,Elizabethtown Primary,Elizabethtown,"301 Mercer Road, Elizabethtown, NC 28337",-78.604944,34.6207993,Bladen County Schools,83.20,C,49.40,3.0
