county,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Beaufort,1,26.20,46411,70342,Washington High,Washington,"400 Slatestone Road, Washington, NC 27889",-77.0151413,35.5573276,Beaufort County Schools,50.20,C,36.50,4.00
Beaufort,1,26.20,46411,70338,P S Jones Middle,Washington,"4105 N Market Street Ext, Washington, NC 27889",-77.0351852,35.5990328,Beaufort County Schools,60.80,C,49.70,3.00
Beaufort,1,26.20,46411,70328,John Small Elementary,Washington,"4103 North Market Street Ext, Washington, NC 27889",-77.0395955,35.5686437,Beaufort County Schools,65.20,C,55.80,3.00
Beaufort,1,26.20,46411,70339,Southside High,Chocowinity,"5700 Hwy 33 East, Chocowinity, NC 27817",-77.0568718,35.4461925,Beaufort County Schools,58.00,C,47.00,3.00
Beaufort,1,26.20,46411,70327,John C Tayloe Elementary,Washington,"910 Tarboro Street, Washington, NC 27889",-77.0639342,35.5577761,Beaufort County Schools,63.20,C,54.50,3.00
Beaufort,1,26.20,46411,70326,Chocowinity Primary,Chocowinity,"606 Gray Road, Chocowinity, NC 27817",-77.0946226,35.4980489,Beaufort County Schools,66.60,B,69.80,2.00
Beaufort,1,26.20,46411,70325,Chocowinity Middle,Chocowinity,"3831 US HWY 17 S, Chocowinity, NC 27817",-77.1007959,35.5098445,Beaufort County Schools,65.10,C,56.40,3.00
Bertie,1,30.40,35433,80360,Colerain Elementary,Colerain,"202 N Academy Street, Colerain, NC 27924",-76.7710699,36.1994918,Bertie County Schools,66.30,C,50.00,3.00
Bertie,1,30.40,35433,80362,Windsor Elementary,Windsor,"104 Cooper Hill Road, Windsor, NC 27983",-76.9204929,35.987805,Bertie County Schools,65.60,C,48.60,3.00
Bertie,1,30.40,35433,08A000,Three Rivers Academy,Windsor,"118-B County Farm Road, Windsor, NC 27983",-76.9466248,35.9776865,Charter Schools,72.40,F,8.60,5.00
Bertie,1,30.40,35433,80314,Bertie Middle,Windsor,"652 US Hwy 13 North, Windsor, NC 27983",-76.9645761,36.0476907,Bertie County Schools,58.20,D,45.00,3.00
Bertie,1,30.40,35433,80311,Bertie Early College High,Windsor,"819 Governors Road, Windsor, NC 27983",-77.0134803,36.0343083,Bertie County Schools,31.40,A,85.20,1.00
Bertie,1,30.40,35433,80348,Aulander Elementary,Aulander,"2515 NC Highway 305 North, Aulander, NC 27805",-77.1058429,36.2154879,Bertie County Schools,63.90,C,53.10,3.00
