District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Union County Public Schools,900358,Stallings Elementary,PK-05,20.4,B,76.5,,,
Wake County Schools,920312,Apex Middle,06-08,18.3,B,76.5,,,
Cabarrus County Schools,130315,J N Fries Magnet School,06-08,35.1,B,76.4,,,
Catawba County Schools,180356,Mountain View Elementary,PK-06,38.9,B,76.4,,,
Henderson County Schools,450324,Etowah Elementary,0K-05,48.1,B,76.4,,,
Iredell-Statesville Schools,490390,Woodland Heights Elementary,PK-05,7.1,B,76.4,,,
Davidson County Schools,290306,Northwest Elementary,PK-05,29.0,B,76.3,,,
Forsyth County Schools,340495,Ronald W Reagan High School,09-12,22.1,A,76.3,,,
Guilford County Schools,410568,Sternberger Elementary,PK-05,15.3,B,76.3,,,
Iredell-Statesville Schools,490324,Cool Spring Elementary,PK-05,45.1,B,76.3,,,
Sampson County Schools,820352,Midway High,09-12,41.5,B,76.3,,,
Pender County Schools,710346,Topsail Middle,06-08,28.4,B,76.2,,,
Guilford County Schools,410326,Middle College High at Bennett,09-12,46.8,A,76.1,,,
Guilford County Schools,410488,Northern Guilford Middle,06-08,25.4,B,76.1,,,
Guilford County Schools,410571,Stokesdale Elementary,PK-05,20.1,B,76.1,,,
Pasquotank County Schools,700325,Elizabeth City Pasquotank Early College,09-10,52.5,B,76.1,,,
Pender County Schools,710323,North Topsail Elementary,PK-05,34.9,B,76.1,,,
Wake County Schools,920473,Leesville Road High,09-12,15.9,B,76.1,,,
Forsyth County Schools,340403,Jefferson Elementary,PK-05,32.1,B,76.0,,,
Wilkes County Schools,970340,Moravian Falls Elementary School,PK-05,48.3,B,76.0,,,
Chapel Hill-Carrboro Schools,681309,McDougle Middle,06-08,26.0,B,75.9,,,
Alexander County Schools,020328,Taylorsville Elementary,PK-05,42.2,B,75.8,,,
Catawba County Schools,180368,Sherrills Ford Elementary,0K-06,26.1,B,75.8,,,
Cleveland County Schools,230380,West Elementary,PK-04,50.0,B,75.8,,,
Henderson County Schools,450342,Rugby Middle,06-08,35.3,B,75.8,,,
Dare County Schools,280310,Nags Head Elementary School,PK-05,42.2,B,75.7,,,
Union County Public Schools,900343,Porter Ridge Middle School,06-08,28.4,B,75.7,,,
Charter Schools,41G000,Cornerstone Charter Academy-CFA,0K-12,11.4,B,75.7,,,
Asheville City Schools,111700,School of Inquiry and Life Sciences,09-12,23.9,A,75.6,,,
Gaston County Schools,360320,Belmont Central Elementary,02-05,27.6,B,75.6,,,
Gaston County Schools,360510,W A Bess Elementary School,PK-05,33.3,B,75.6,,,
Rockingham County Schools,790302,Bethany Elementary,PK-05,36.0,B,75.6,,,
Wake County Schools,920469,Leesville Road Elementary,0K-05,26.5,B,75.6,,,
Charter Schools,90A000,Union Academy,0K-12,9.8,B,75.6,,,
Carteret County Public Schools,160314,Croatan High,09-12,33.1,A,75.5,,,
Charter Schools,63B000,STARS Charter,0K-11,24.7,B,75.5,,,
Chapel Hill-Carrboro Schools,681304,Carrboro Elementary,PK-05,31.9,B,75.4,,,
Wake County Schools,920484,Lufkin Road Middle,06-08,19.6,B,75.4,,,
Watauga County Schools,950322,Hardin Park Elementary,PK-08,36.6,B,75.4,,,
Wake County Schools,920551,Salem Middle,06-08,21.3,B,75.3,,,
Wake County Schools,920581,Vernon Malone College and Career Academy,09-13,37.5,B,75.3,,,
Watauga County Schools,950328,Parkway Elementary,PK-08,32.3,B,75.3,,,
Charter Schools,10B000,South Brunswick Charter,0K-05,16.5,B,75.2,,,
Craven County Schools,250304,Albert H Bangert Elementary,0K-05,57.7,B,75.1,,,
Wake County Schools,920548,Root Elementary,PK-05,20.4,B,75.1,,,
Carteret County Public Schools,160313,East Carteret High,09-12,59.8,A,75.0,,,
Columbus County Schools,240352,Guideway Elementary,PK-05,69.6,B,75.0,,,
Cumberland County Schools,260430,Stedman Elementary,0K-05,46.0,B,75.0,,,
Guilford County Schools,410401,GTCC Middle College High,09-13,42.9,A,75.0,,,
Wilkes County Schools,970310,C B Eller Elementary School,PK-05,32.2,B,75.0,,,
Davie County Schools,300328,Shady Grove Elementary,PK-05,19.1,B,74.9,,,
Lincoln County Schools,550344,North Lincoln High,09-12,18.6,B,74.9,,,
Wake County Schools,920316,Apex High,09-12,13.9,B,74.9,,,
Pender County Schools,710347,South Topsail Elementary,PK-05,42.9,B,74.8,,,
Pender County Schools,710350,Surf City Elementary,PK-05,39.3,B,74.8,,,
Wake County Schools,920468,Lacy Elementary,PK-05,22.6,B,74.8,,,
Charter Schools,92G000,East Wake Academy,0K-12,7.4,B,74.8,,,
Forsyth County Schools,340392,Hanes Magnet School,06-08,37.1,B,74.7,,,
Macon County Schools,560338,South Macon Elementary,PK-04,68.4,B,74.7,,,
Buncombe County Schools,110428,Weaverville Elementary,02-04,41.5,B,74.6,,,
Onslow County Schools,670314,Dixon Elementary,PK-04,33.8,B,74.6,,,
Wake County Schools,920386,Crossroads FLEX,09-12,<5,B,74.6,,,
Charter Schools,60M000,Corvian Community School,0K-09,<5,B,74.6,,,
Macon County Schools,560324,Highlands School,0K-12,41.2,B,74.5,,,
Chapel Hill-Carrboro Schools,681322,Culbreth Middle,06-08,24.9,B,74.4,,,
Charter Schools,45A000,The Mountain Community Sch,0K-08,12.1,B,74.4,,,
Cumberland County Schools,260418,Seventy-First Classical Middle,06-08,49.8,B,74.3,,,
Davidson County Schools,290380,Wallburg Elementary,PK-05,32.3,B,74.3,,,
Lincoln County Schools,550350,North Lincoln Middle,06-08,27.1,B,74.3,,,
Wake County Schools,920458,Holly Grove Middle,06-08,20.4,B,74.3,,,
Wake County Schools,920521,Oakview Elementary,PK-05,15.8,B,74.3,,,
Forsyth County Schools,340457,Frank Morgan Elementary,PK-05,40.3,B,74.2,,,
Gaston County Schools,360494,South Point High,09-12,23.7,B,74.2,,,
Granville County Schools,390368,Wilton Elementary,PK-05,44.7,B,74.2,,,
Charter Schools,65A000,Cape Fear Center for Inquiry,0K-08,21.4,B,74.2,,,
Guilford County Schools,410466,Millis Road Elementary,PK-05,40.9,B,74.1,,,
Henderson County Schools,450332,Fletcher Elementary,0K-05,43.1,B,74.1,,,
Hoke County Schools,470443,SandHoke Early College High,09-13,53.7,A,74.1,,,
Charlotte-Mecklenburg Schools,600449,McAlpine Elementary,PK-05,28.4,B,74.1,,,
Wake County Schools,920376,Combs Elementary,PK-05,36.8,B,74.1,,,
Wake County Schools,920604,West Cary Middle,06-08,22.1,B,74.0,,,
Carteret County Public Schools,160326,Newport Middle,06-08,64.5,B,73.9,,,
Charlotte-Mecklenburg Schools,600464,Myers Park Traditional,0K-05,43.9,B,73.9,,,
Polk County Schools,750314,Polk Central Elementary School,PK-05,41.5,B,73.9,,,
Sampson County Schools,820384,Union Elementary,PK-05,77.9,B,73.9,,,
Stanly County Schools,840320,Locust Elementary,0K-05,38.1,B,73.9,,,
Cumberland County Schools,260388,Massey Hill Classical High,09-12,34.6,B,73.8,,,
Chapel Hill-Carrboro Schools,681312,Estes Hills Elementary,PK-05,26.2,B,73.8,,,
Rutherford County Schools,810344,Ellenboro Elementary School,PK-05,47.9,B,73.8,,,
Stokes County Schools,850328,Nancy Reynolds Elementary,0K-05,61.4,B,73.7,,,
Charter Schools,36B000,Piedmont Community Charter School,0K-12,18.3,B,73.7,,,
Charlotte-Mecklenburg Schools,600466,Myers Park High,09-12,23.6,B,73.6,,,
Wake County Schools,920303,Abbotts Creek Elementary,PK-05,24.1,B,73.6,,,
Davidson County Schools,290330,Friedberg Elementary,PK-05,26.9,B,73.5,,,
Hoke County Schools,470310,Don D Steed Elementary,PK-05,52.5,B,73.5,,,
Wake County Schools,920358,Carpenter Elementary,PK-05,20.8,B,73.5,,,
Wake County Schools,920524,Olds Elementary,PK-05,21.8,B,73.5,,,
Iredell-Statesville Schools,490356,Sharon Elementary,PK-05,49.1,B,73.4,,,
Charlotte-Mecklenburg Schools,600344,Collinswood Language Academy,0K-08,49.4,B,73.4,,,
Elkin City Schools,861308,Elkin High,09-12,37.1,B,73.4,,,
Carteret County Public Schools,160352,White Oak Elementary,PK-05,39.2,B,73.3,,,
Charter Schools,92W000,Cardinal Charter Academy,0K-08,14.1,B,73.3,,,
Davidson County Schools,290333,Friendship Elementary,PK-05,32.3,B,73.2,,,
Guilford County Schools,410304,Alamance Elementary,PK-05,37.7,B,73.2,,,
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,0K-05,25.9,B,73.2,,,
Duplin County Schools,310338,Duplin Early College High,09-13,67.8,B,73.1,,,
Wake County Schools,920492,Martin Middle,06-08,27.9,B,73.1,,,
Wake County Schools,920522,Oak Grove Elementary,PK-05,19.9,B,73.1,,,
Charter Schools,01D000,The Hawbridge School,04-12,8.1,B,73.1,,,
Charter Schools,39A000,Falls Lake Academy,0K-12,8.2,B,73.1,,,
Charter Schools,91A000,Vance Charter School,0K-11,13.6,B,73.1,,,
Haywood County Schools,440314,Bethel Elementary,0K-05,51.8,B,73.0,,,
Watauga County Schools,950338,Watauga Innovation Academy,09-12,30.6,B,73.0,,,
Charter Schools,10A000,Charter Day School,0K-08,34.6,B,73.0,,,
Charter Schools,19A000,Chatham Charter,0K-12,14.9,B,73.0,,,
Asheville City Schools,111306,Isaac Dickson Elementary,PK-05,36.4,B,72.9,,,
Cumberland County Schools,260434,Stoney Point Elementary,0K-05,30.6,B,72.9,,,
Forsyth County Schools,340494,Piney Grove Elementary,PK-05,32.7,B,72.9,,,
Stokes County Schools,850340,Pinnacle Elementary,PK-05,61.3,B,72.9,,,
Wilson County Schools,980397,Wilson Academy of Applied Technology,09-11,30.3,B,72.9,,,
Charter Schools,32N000,Research Triangle High School,09-12,<5,B,72.9,,,
Buncombe County Schools,110382,North Windy Ridge Intermediate,05-06,47.8,B,72.8,,,
Lincoln County Schools,550322,East Lincoln Middle,06-08,30.7,B,72.8,,,
Charlotte-Mecklenburg Schools,600582,J T Williams Secondary Montessori,07-12,17.1,B,72.8,,,
Union County Public Schools,900340,New Salem Elementary,PK-05,31.5,B,72.8,,,
Watauga County Schools,950336,Watauga High,09-12,22.8,B,72.8,,,
Wilson County Schools,980340,Gardners Elementary,0K-05,41.6,B,72.8,,,
Davie County Schools,300325,North Davie Middle,06-08,37.6,B,72.7,,,
Sampson County Schools,820340,Hargrove Elementary,PK-05,74.1,B,72.7,,,
Carteret County Public Schools,160344,West Carteret High,09-12,49.6,B,72.6,,,
Sampson County Schools,820354,Midway Middle,06-08,45.9,B,72.6,,,
Alexander County Schools,020324,Sugar Loaf Elementary,0K-05,42.1,B,72.5,,,
Harnett County Schools,430352,LaFayette Elementary,0K-05,37.7,B,72.5,,,
Wake County Schools,920448,Hunter Elementary,PK-05,30.9,B,72.5,,,
Carteret County Public Schools,160318,Morehead City Middle,05-08,52.1,B,72.4,,,
Johnston County Schools,510328,Cleveland Elementary,PK-05,26.9,B,72.4,,,
Moore County Schools,630374,West Pine Middle,06-08,25.6,B,72.4,,,
Onslow County Schools,670350,Swansboro Elementary,0K-05,36.2,B,72.4,,,
Rutherford County Schools,810328,Cliffside Elementary School,0K-05,47.9,B,72.4,,,
Wake County Schools,920306,Herbert Akins Rd Elementary,PK-05,19.5,B,72.4,,,
Wake County Schools,920456,Joyner Elementary,PK-05,24.5,B,72.4,,,
Cabarrus County Schools,130345,Patriots Elementary,0K-05,24.1,B,72.3,,,
Gaston County Schools,360324,Belmont Middle,06-08,31.1,B,72.3,,,
Madison County Schools,570320,Mars Hill Elementary,0K-05,49.6,B,72.3,,,
Surry County Schools,860340,Pilot Mountain Middle,06-08,48.2,B,72.3,,,
Guilford County Schools,410489,Northern Guilford High,09-12,16.0,B,72.2,,,
Mooresville City Schools,491320,South Elementary,PK-03,54.4,B,72.2,,,
Wake County Schools,920414,Farmington Woods Elementary,PK-05,31.6,B,72.2,,,
Wake County Schools,920572,Underwood Elementary,0K-05,22.9,B,72.2,,,
Davie County Schools,300337,William Ellis Middle,06-08,30.5,B,72.1,,,
Iredell-Statesville Schools,490335,Lake Norman High,09-12,8.5,B,72.1,,,
Ashe County Schools,050305,Ashe County Middle,07-08,55.4,B,72.0,,,
Gaston County Schools,360464,New Hope Elementary,0K-05,27.3,B,72.0,,,
Guilford County Schools,410472,Morehead Elementary,0K-05,69.1,B,72.0,,,
Union County Public Schools,900363,Sun Valley Elementary,PK-05,26.3,B,72.0,,,
Wake County Schools,920471,Leesville Road Middle,06-08,29.2,B,72.0,,,
Wake County Schools,920594,Wakefield Middle,06-08,18.5,B,72.0,,,
Ashe County Schools,050310,Blue Ridge Elementary,0K-06,60.1,B,71.9,,,
Burke County Schools,120312,Drexel Elementary,PK-05,65.6,B,71.8,,,
Chatham County Schools,190304,Bennett School,PK-08,40.7,B,71.8,,,
Charlotte-Mecklenburg Schools,600399,Alexander Graham Middle,06-08,27.1,B,71.8,,,
Elkin City Schools,861312,Elkin Middle,07-08,37.0,B,71.8,,,
Yadkin County Schools,990308,Courtney Elementary,PK-09,64.0,B,71.8,,,
Rutherford County Schools,810370,Pinnacle Elementary School,PK-05,39.1,B,71.7,,,
Mount Airy City Schools,862316,Mount Airy Middle,06-08,58.9,B,71.7,,,
Chapel Hill-Carrboro Schools,681305,Carrboro High,09-12,24.3,B,71.6,,,
Charter Schools,87A000,Mountain Discovery,0K-08,18.4,B,71.6,,,
Wake County Schools,920334,Brassfield Elementary,0K-05,29.4,B,71.5,,,
Craven County Schools,250328,Graham A Barden Elementary,PK-05,67.4,B,71.4,,,
Wake County Schools,920467,Laurel Park Elementary,PK-05,13.3,B,71.4,,,
Yadkin County Schools,990320,Forbush Elementary,PK-06,26.1,B,71.4,,,
Chatham County Schools,190339,Margaret B. Pollard Middle,06-08,20.1,B,71.3,,,
Dare County Schools,280316,Manteo High School,09-12,34.1,B,71.3,,,
Forsyth County Schools,340406,Thomas Jefferson Middle,06-08,33.0,B,71.3,,,
Charlotte-Mecklenburg Schools,600385,Endhaven Elementary,PK-05,28.4,B,71.3,,,
Randolph County Schools,760304,Archdale Elementary,0K-05,62.0,B,71.3,,,
Wake County Schools,920514,North Forest Pines Elementary,PK-05,26.7,B,71.3,,,
Charter Schools,01B000,River Mill Academy,0K-12,11.6,B,71.3,,,
Burke County Schools,120344,Icard Elementary,PK-05,66.3,B,71.2,,,
Cleveland County Schools,230364,Springmore Elementary,PK-05,55.8,B,71.2,,,
Currituck County Schools,270312,Knotts Island Elementary,0K-05,34.6,B,71.2,,,
Guilford County Schools,410407,Kearns Academy,09-12,38.4,B,71.2,,,
Henderson County Schools,450352,West Henderson High,09-12,27.8,B,71.2,,,
Wake County Schools,920494,Middle Creek Elementary,PK-05,24.2,C,71.2,,,
Warren County Schools,930360,Warren Early College High,09-13,36.0,B,71.2,,,
Charter Schools,86T000,Millennium Charter Academy,0K-12,18.7,B,71.2,,,
Buncombe County Schools,110326,Cane Creek Middle,06-08,32.2,B,71.1,,,
Johnston County Schools,510378,Riverwood Elementary,PK-05,20.3,B,71.0,,,
Transylvania County Schools,880336,T C Henderson,PK-05,76.9,B,71.0,,,
Wake County Schools,920340,Briarcliff Elementary,PK-05,41.0,B,71.0,,,
Buncombe County Schools,110370,Hominy Valley Elementary,0K-04,41.1,B,70.9,,,
Buncombe County Schools,110388,Pisgah Elementary,0K-04,57.3,B,70.9,,,
Guilford County Schools,410388,General Greene Elementary,0K-05,38.3,B,70.9,,,
Henderson County Schools,450307,Clear Creek Elementary,0K-05,62.4,B,70.9,,,
Charter Schools,58B000,Bear Grass Charter School,06-12,14.9,B,70.9,,,
Avery County Schools,060318,Avery Middle,06-08,55.7,B,70.8,,,
Cabarrus County Schools,130332,Hickory Ridge High,09-12,16.0,B,70.8,,,
Cumberland County Schools,260369,John R Griffin Middle,06-08,38.3,B,70.8,,,
Burke County Schools,120380,Valdese Elementary,PK-05,60.0,B,70.7,,,
Chapel Hill-Carrboro Schools,681316,FPG Elementary,PK-05,41.3,B,70.7,,,
Union County Public Schools,900354,Sardis Elementary,PK-05,62.4,B,70.7,,,
Cumberland County Schools,260356,District No 7 Elementary,PK-05,50.7,B,70.6,,,
Cumberland County Schools,260380,Long Hill Elementary,02-05,47.8,B,70.6,,,
Wayne County Public Schools,960336,Grantham Elementary,0K-04,66.8,B,70.6,,,
Cleveland County Schools,230320,Casar Elementary,PK-05,51.7,B,70.5,,,
Iredell-Statesville Schools,490308,Brawley Middle,06-08,14.9,B,70.5,,,
New Hanover County Schools,650364,Roland-Grise Middle,06-08,37.0,B,70.5,,,
Person County Schools,730368,Woodland Elementary,0K-05,32.8,B,70.5,,,
Randolph County Schools,760368,Trindale Elementary,PK-05,56.1,B,70.5,,,
Elkin City Schools,861304,Elkin Elementary,PK-06,45.3,B,70.5,,,
Forsyth County Schools,340326,Caleb's Creek Elementary,PK-05,39.1,B,70.4,,,
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,PK-05,21.8,B,70.4,,,
Brunswick County Schools,100339,Town Creek Elementary,PK-05,64.6,B,70.3,,,
Guilford County Schools,410424,Jesse Wharton Elem,0K-05,34.8,B,70.3,,,
Henderson County Schools,450335,Hendersonville Middle,06-08,46.1,B,70.3,,,
Surry County Schools,860360,White Plains Elementary,PK-05,58.2,B,70.3,,,
Wake County Schools,920472,Ligon Middle,06-08,28.9,C,70.3,,,
Charlotte-Mecklenburg Schools,600455,Mint Hill Middle,06-08,37.9,B,70.2,,,
Rutherford County Schools,810350,Forrest W. Hunt Elementary School,PK-05,48.5,B,70.2,,,
Burke County Schools,120370,Robert L. Patton High School,09-12,42.1,B,70.1,,,
Dare County Schools,280302,Cape Hatteras Elementary School,PK-05,65.7,B,70.1,,,
Charlotte-Mecklenburg Schools,600435,Trillium Springs Montessori,PK-06,25.7,B,70.1,,,
Robeson County Schools,780407,Tanglewood Elementary,0K-03,61.3,B,70.1,,,
Charter Schools,19C000,Willow Oak Montessori,01-08,<5,B,70.1,,,
Carteret County Public Schools,160304,Atlantic Elementary,PK-05,78.6,B,70.0,,,
Cumberland County Schools,260448,Vanstory Hills Elementary,02-05,45.2,B,70.0,,,
Davidson County Schools,290351,Oak Grove Middle,06-08,29.5,B,70.0,,,
Harnett County Schools,430312,Benhaven Elementary,PK-05,42.2,B,70.0,,,
Charlotte-Mecklenburg Schools,600447,Matthews Elementary,PK-05,28.5,B,70.0,,,
New Hanover County Schools,650342,John T Hoggard High,09-12,28.7,B,70.0,,,
Stanly County Schools,840368,West Stanly High,09-12,28.4,B,70.0,,,
Surry County Schools,860312,Dobson Elementary,PK-05,64.6,B,70.0,,,
Mount Airy City Schools,862312,Mount Airy High,09-12,44.2,B,70.0,,,
Wake County Schools,920455,Holly Springs High,09-12,11.7,B,70.0,,,
Charter Schools,34G000,The Arts Based School,0K-08,9.9,B,70.0,,,
Ashe County Schools,050330,Mountain View Elementary,PK-06,63.4,B,69.9,,,
Jackson County Schools,500340,Smoky Mountain High School,09-12,40.6,B,69.9,,,
Wilson County Schools,980352,Lucama Elementary,0K-05,45.0,B,69.9,,,
Charter Schools,41D000,"Phoenix Academy- Primary, Elem. IB MYP",0K-08,19.8,B,69.9,,,
Beaufort County Schools,070326,Chocowinity Primary,PK-04,66.6,B,69.8,,,
Buncombe County Schools,110436,West Buncombe Elementary,0K-04,58.9,B,69.8,,,
Asheville City Schools,111332,Ira B Jones Elementary,PK-05,39.4,B,69.8,,,
Cleveland County Schools,230308,Boiling Springs Elementary,PK-05,55.8,B,69.8,,,
Yancey County Schools,995336,South Toe Elementary,0K-05,58.2,B,69.8,,,
Pitt County Schools,740379,Ridgewood Elementary,0K-05,44.7,B,69.7,,,
Randolph County Schools,760330,John R Lawrence Elementary,0K-05,42.1,B,69.7,,,
Wake County Schools,920520,Northwoods Elementary,PK-05,32.8,B,69.7,,,
Charter Schools,90C000,Union Prep Academy at Indian Trail,0K-08,28.1,B,69.7,,,
Charter Schools,92U000,Longleaf School of the Arts,09-12,6.8,B,69.7,,,
Cabarrus County Schools,130326,Northwest Cabarrus High,09-12,38.9,B,69.6,,,
Catawba County Schools,180308,Bandys High,09-12,30.4,B,69.6,,,
Davidson County Schools,290302,Brier Creek Elementary,PK-05,63.4,B,69.6,,,
Durham Public Schools,320342,Lakewood Montessori Middle,06-08,38.8,B,69.6,,,
Alexander County Schools,020332,Wittenburg Elementary,PK-05,44.3,B,69.5,,,
Haywood County Schools,440350,Junaluska Elementary,0K-05,49.7,B,69.5,,,
Charter Schools,60S000,Bradford Preparatory School,0K-12,5.3,B,69.5,,,
Pender County Schools,710352,Surf City Middle,06-08,32.4,B,69.4,,,
Wake County Schools,920450,Holly Ridge Middle,06-08,24.3,C,69.4,,,
Charter Schools,11B000,ArtSpace Charter School,0K-08,13.8,B,69.4,,,
Carteret County Public Schools,160306,Bogue Sound Elementary,PK-05,60.6,B,69.3,,,
Forsyth County Schools,340420,Kernersville Middle,06-08,41.6,B,69.3,,,
Guilford County Schools,410370,Florence Elementary,PK-05,41.8,B,69.3,,,
Charlotte-Mecklenburg Schools,600557,Torrence Creek Elementary,0K-05,28.8,B,69.3,,,
New Hanover County Schools,650348,Murrayville Elementary,0K-05,61.9,B,69.3,,,
Rockingham County Schools,790398,Wentworth Elementary,PK-05,47.5,B,69.3,,,
Rutherford County Schools,810360,Harris Elementary School,PK-05,40.8,B,69.3,,,
Union County Public Schools,900350,Piedmont Middle,06-08,27.0,C,69.3,,,
Buncombe County Schools,110352,Enka High,09-12,45.6,B,69.2,,,
Caldwell County Schools,140340,Granite Falls Elementary,PK-05,45.5,C,69.2,,,
Chatham County Schools,190352,Silk Hope School,0K-08,39.3,B,69.2,,,
Cumberland County Schools,260415,Rockfish Elementary,PK-05,53.7,B,69.2,,,
Onslow County Schools,670331,New Bridge Middle,06-08,43.8,B,69.2,,,
Stanly County Schools,840308,Badin Elementary,0K-05,56.1,B,69.2,,,
